POST,GROUP_ID,GROUP_TIME,SLICE_TIME
Extension_is_binary,12_33/002,10831.75,10632
Property_subsetted_property_names,12_33/003,12527.5,11304
State_submachine_states,12_33/003,12527.5,11727
State_composite_states,12_33/003,12527.5,11710
ValuePin_no_incoming_edges,12_33/003,12527.5,9483
AcceptEventAction_no_output_pins,12_33/004,18221.33333,10286
CallAction_synchronous_call,12_33/004,18221.33333,13167
ConditionalNode_no_input_pins,12_33/004,18221.33333,10693
FinalNode_no_outgoing_edges,12_33/005,13786.5,10893
Pin_control_pins,12_33/005,13786.5,13351
Pin_not_unique,12_33/005,13786.5,12851
AcceptEventAction_no_input_pins,12_33/005,13786.5,13143
Node_internal_structure,12_33/006,180000,70589
StructuralFeatureAction_not_static,12_33/006,180000,86122
State_destinations_or_sources_of_transitions,12_33/007,0,0
ExecutionSpecification_same_lifeline,12_33/008,0,0
BehavioralFeature_abstract_no_method,12_33/009,0,0
InformationItem_has_no,12_33/010,0,0
ReadLinkObjectEndAction_ends_of_association,12_33/011,0,0
LinkAction_not_static,12_33/012,0,0
StringExpression_operands,12_33/013,0,0
Behavior_feature_of_context_classifier,12_33/014,0,0
CommunicationPath_association_ends,12_33/015,0,0
Component_no_nested_classifiers,12_33/016,0,0
ClassifierTemplateParameter_has_constraining_classifier,12_33/017,0,0
CreateObjectAction_classifier_not_abstract,12_33/018,0,0
CreateObjectAction_classifier_not_association_class,12_33/019,0,0
InformationFlow_convey_classifiers,12_33/020,0,0
ActionInputPin_one_output_pin,12_33/021,0,0
ActionInputPin_input_pin,12_33/022,0,0
AcceptCallAction_unmarshall,13_35/000,16942.66667,8665
InformationItem_not_instantiable,13_35/000,16942.66667,8283
ObjectFlow_is_multicast_or_is_multireceive,13_35/000,16942.66667,8261
Parameter_stream_and_exception,13_35/000,16942.66667,7871
FinalState_no_regions,13_35/000,16942.66667,9209
Reception_same_name_as_signal,13_35/000,16942.66667,10755
State_submachine_or_regions,13_35/000,16942.66667,10489
ActivityParameterNode_has_parameters,13_35/000,16942.66667,17710
ActivityParameterNode_no_edges,13_35/000,16942.66667,9099
DecisionNode_decision_input_flow_incoming,13_35/001,180000,14336
Extend_extension_points,13_35/001,180000,35007
FinalState_no_outgoing_transitions,13_35/001,180000,9802
ForkNode_one_incoming_edge,13_35/001,180000,9369
InitialNode_no_incoming_edges,13_35/001,180000,9087
InitialNode_control_edges,13_35/001,180000,9606
JoinNode_one_outgoing_edge,13_35/001,180000,9615
MergeNode_one_outgoing_edge,13_35/002,9422.5,9612
Property_derived_union_is_read_only,13_35/002,9422.5,10798
Property_derived_union_is_derived,13_35/002,9422.5,11250
Property_subsetted_property_names,13_35/002,9422.5,11304
State_submachine_states,13_35/002,9422.5,11727
State_composite_states,13_35/002,9422.5,11710
ValuePin_no_incoming_edges,13_35/003,23294.75,9483
AcceptEventAction_no_output_pins,13_35/003,23294.75,10286
CallAction_synchronous_call,13_35/003,23294.75,13167
FinalNode_no_outgoing_edges,13_35/003,23294.75,10893
ConditionalNode_no_input_pins,13_35/004,8317.5,10693
Enumeration_immutable,13_35/004,8317.5,12075
Extension_is_binary,13_35/004,8317.5,10632
Pin_control_pins,13_35/004,8317.5,13351
Pin_not_unique,13_35/004,8317.5,12851
AcceptEventAction_no_input_pins,13_35/004,8317.5,13143
Node_internal_structure,13_35/005,180000,70589
StructuralFeatureAction_not_static,13_35/005,180000,86122
State_destinations_or_sources_of_transitions,13_35/006,0,0
ExecutionSpecification_same_lifeline,13_35/007,0,0
BehavioralFeature_abstract_no_method,13_35/008,0,0
InformationItem_has_no,13_35/009,0,0
ReadLinkObjectEndAction_ends_of_association,13_35/010,0,0
LinkAction_not_static,13_35/011,0,0
StringExpression_operands,13_35/012,0,0
Behavior_feature_of_context_classifier,13_35/013,0,0
CommunicationPath_association_ends,13_35/014,0,0
Component_no_nested_classifiers,13_35/015,0,0
ClassifierTemplateParameter_has_constraining_classifier,13_35/016,0,0
CreateObjectAction_classifier_not_abstract,13_35/017,0,0
CreateObjectAction_classifier_not_association_class,13_35/018,0,0
InformationFlow_convey_classifiers,13_35/019,0,0
ActionInputPin_one_output_pin,13_35/020,0,0
ActionInputPin_input_pin,13_35/021,0,0
AcceptCallAction_unmarshall,14_38/000,180000,8665
InformationItem_not_instantiable,14_38/000,180000,8283
ObjectFlow_is_multicast_or_is_multireceive,14_38/000,180000,8261
Parameter_stream_and_exception,14_38/000,180000,7871
FinalState_no_regions,14_38/000,180000,9209
Reception_same_name_as_signal,14_38/000,180000,10755
State_submachine_or_regions,14_38/000,180000,10489
ActivityParameterNode_has_parameters,14_38/000,180000,17710
ActivityParameterNode_no_edges,14_38/000,180000,9099
DecisionNode_decision_input_flow_incoming,14_38/000,180000,14336
Extend_extension_points,14_38/001,180000,35007
FinalState_no_outgoing_transitions,14_38/001,180000,9802
ForkNode_one_incoming_edge,14_38/001,180000,9369
InitialNode_no_incoming_edges,14_38/001,180000,9087
InitialNode_control_edges,14_38/001,180000,9606
JoinNode_one_outgoing_edge,14_38/001,180000,9615
MergeNode_one_outgoing_edge,14_38/001,180000,9612
Property_derived_union_is_read_only,14_38/002,10293.33333,10798
Property_derived_union_is_derived,14_38/002,10293.33333,11250
Property_subsetted_property_names,14_38/002,10293.33333,11304
State_submachine_states,14_38/002,10293.33333,11727
State_composite_states,14_38/002,10293.33333,11710
ValuePin_no_incoming_edges,14_38/002,10293.33333,9483
AcceptEventAction_no_output_pins,14_38/003,17527,10286
CallAction_synchronous_call,14_38/003,17527,13167
ConditionalNode_no_input_pins,14_38/003,17527,10693
Pin_not_unique,14_38/003,17527,12851
AcceptEventAction_no_input_pins,14_38/003,17527,13143
Enumeration_immutable,14_38/004,6012.25,12075
